2025-11-29T12:40:12+05:30 | ip=::1 | reason=Cloudinary_Config_Missing | uri=/htdocs/admin/workers.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | details=Cloudinary settings are incomplete.
2025-11-29T12:57:07+05:30 | ip=::1 | reason=Cloudinary_Config_Missing | uri=/htdocs/admin/workers.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | details=Cloudinary settings are incomplete.
2025-11-29T12:58:07+05:30 | ip=::1 | reason=Cloudinary_Config_Missing | uri=/htdocs/admin/workers.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | details=Cloudinary settings are incomplete.
2025-11-29T08:28:33+01:00 | ip=::1 | reason=Cloudinary_Config_Missing | uri=/htdocs/admin/site_settings.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | details=Cloudinary settings are incomplete.
2025-11-29T12:59:11+05:30 | ip=::1 | reason=Cloudinary_Config_Missing | uri=/htdocs/admin/workers.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | details=Cloudinary settings are incomplete.
2025-11-29T13:00:11+05:30 | ip=::1 | reason=Cloudinary_Config_Missing | uri=/htdocs/admin/workers.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | details=Cloudinary settings are incomplete.
2025-12-05T11:52:48-05:00 | ip=110.224.75.150 | reason=Cloudinary_API_Error | uri=/admin/site_settings.php | ua=Mozilla/5.0 (Linux; Android 14; RMX3395 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36 | details=HTTP Code: 401, Message: uploading is disabled for dppoq5cqf
2025-12-05T11:53:02-05:00 | ip=110.224.75.150 | reason=Cloudinary_API_Error | uri=/admin/site_settings.php | ua=Mozilla/5.0 (Linux; Android 14; RMX3395 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36 | details=HTTP Code: 401, Message: uploading is disabled for dppoq5cqf
2025-12-18T22:19:49-05:00 | ip=223.187.96.214 | reason=Cloudinary_API_Error | uri=/admin/site_settings.php | ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | details=HTTP Code: 401, Message: cloud_name is disabled
2025-12-18T22:20:46-05:00 | ip=223.187.96.214 | reason=Cloudinary_API_Error | uri=/admin/site_settings.php | ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | details=HTTP Code: 401, Message: cloud_name is disabled
2025-12-18T22:22:26-05:00 | ip=223.187.96.214 | reason=Cloudinary_API_Error | uri=/admin/customers.php | ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | details=HTTP Code: 401, Message: cloud_name is disabled
